id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree (misd/fel),compas_decile_score,two_year_recid,compas_guess,compas_correct
1,6,0,69,0,0,0,16,1,1,0,0,1
3,2,0,34,0,0,0,170,1,3,1,0,0
4,2,0,24,0,0,4,306,1,4,1,0,0
5,2,0,23,0,1,1,303,1,8,0,1,0
6,6,0,43,0,0,2,28,1,1,0,0,1
7,6,0,44,0,0,0,45,0,1,0,0,1
8,1,0,41,0,0,14,292,1,6,1,1,1
9,6,0,43,0,0,3,28,1,4,0,0,1
10,1,1,39,0,0,0,45,0,1,0,0,1
13,1,0,21,0,0,1,198,1,3,1,0,0
14,1,0,27,0,0,0,248,1,4,0,0,1
15,2,0,23,0,0,3,45,0,6,1,1,1
16,1,1,37,0,0,0,45,0,1,0,0,1
18,2,0,41,0,0,0,280,1,4,0,0,1
19,1,1,47,0,0,1,28,1,1,1,0,0
20,2,0,31,0,0,7,172,1,3,1,0,0
21,3,0,37,0,0,0,45,0,1,0,0,1
22,2,0,25,0,0,3,190,1,10,0,1,0
23,1,0,31,0,0,6,129,1,5,1,1,1
24,1,0,31,0,0,5,311,1,3,1,0,0
25,2,0,64,0,0,13,28,1,6,1,1,1
26,2,0,21,0,0,1,49,1,9,1,1,1
27,1,0,27,0,0,0,317,0,2,1,0,0
28,1,1,21,0,0,0,202,1,4,0,0,1
30,3,0,24,0,0,1,212,1,4,1,0,0
32,1,0,43,0,0,1,374,0,1,0,0,1
33,6,0,32,0,0,0,45,0,3,0,0,1
37,2,0,27,0,0,8,71,1,3,1,0,0
38,1,1,36,0,0,3,28,1,3,0,0,1
39,2,0,26,0,0,5,246,1,7,1,1,1
40,2,0,33,0,0,0,379,1,10,1,1,1
41,1,0,30,0,0,9,170,1,9,1,1,1
42,2,0,32,0,0,4,36,1,8,1,1,1
45,1,0,55,0,0,0,28,1,1,0,0,1
50,6,0,49,0,0,7,7,1,3,1,0,0
51,1,0,26,0,0,6,239,0,8,0,1,0
52,1,1,33,0,0,4,45,0,5,1,1,1
53,1,0,24,0,0,1,45,0,2,1,0,0
54,2,0,34,2,1,21,275,1,9,1,1,1
55,1,0,29,0,0,0,283,0,2,0,0,1
56,2,1,21,0,0,2,28,1,8,0,1,0
57,2,0,51,0,0,2,410,0,1,0,0,1
59,1,0,29,0,0,2,423,0,2,1,0,0
61,2,1,51,0,0,7,306,1,2,0,0,1
64,2,0,29,0,0,0,102,1,7,1,1,1
66,1,0,25,0,0,9,45,0,10,1,1,1
67,2,0,35,1,0,13,418,1,8,1,1,1
68,1,0,49,0,0,0,133,0,1,0,0,1
69,2,0,34,0,0,4,127,0,3,1,0,0
70,2,0,29,0,0,0,379,1,4,0,0,1
71,1,0,29,0,0,1,319,1,2,1,0,0
72,6,1,28,0,0,0,190,1,2,0,0,1
75,1,0,48,0,0,20,28,1,6,1,1,1
77,3,1,63,0,0,1,28,1,1,0,0,1
79,2,0,31,0,0,15,37,1,5,0,1,0
80,2,0,24,0,0,2,271,1,4,1,0,0
83,3,0,30,0,0,0,283,0,7,0,1,0
84,2,0,49,0,0,4,45,0,1,0,0,1
85,1,0,53,0,0,8,28,1,5,0,1,0
87,2,0,35,0,0,5,129,1,3,0,0,1
88,2,0,63,0,0,10,286,0,7,1,1,1
90,2,0,27,1,1,15,129,1,10,1,1,1
91,1,0,38,0,0,4,45,0,2,1,0,0
93,2,0,22,0,0,1,257,1,4,1,0,0
95,2,0,22,0,1,2,352,1,10,1,1,1
96,2,0,29,0,0,4,28,1,9,1,1,1
97,3,0,62,0,0,0,409,0,1,0,0,1
98,2,0,27,0,1,6,21,1,6,1,1,1
99,6,0,33,0,0,0,45,0,1,0,0,1
100,2,1,56,0,0,0,45,0,1,0,0,1
101,3,0,45,0,0,6,306,1,1,1,0,0
102,3,0,22,0,0,1,64,1,4,0,0,1
105,2,0,39,0,0,1,28,0,4,0,0,1
107,2,0,29,0,0,5,162,1,6,1,1,1
108,1,0,27,0,0,1,28,1,6,1,1,1
111,2,0,40,0,0,2,28,1,2,0,0,1
113,2,0,22,0,0,1,45,0,3,1,0,0
114,1,0,22,0,0,0,190,1,8,0,1,0
115,2,1,26,0,0,1,252,1,4,1,0,0
116,1,0,27,0,0,1,60,1,7,1,1,1
119,2,0,32,0,0,0,169,1,2,0,0,1
120,2,0,41,0,0,1,28,0,2,0,0,1
122,2,0,30,0,0,8,283,0,10,1,1,1
127,6,0,50,0,0,0,28,1,1,1,0,0
128,2,0,25,1,6,14,28,1,10,1,1,1
130,6,0,20,0,0,0,379,1,5,1,1,1
131,2,0,22,1,0,2,40,1,9,1,1,1
132,2,0,23,0,0,2,28,0,7,1,1,1
136,2,1,35,0,0,1,28,0,2,0,0,1
137,2,0,36,0,0,9,112,1,7,1,1,1
138,1,0,26,0,0,7,292,1,8,1,1,1
139,6,0,21,0,0,1,190,1,6,1,1,1
142,1,0,25,0,0,9,246,1,8,1,1,1
143,2,0,71,0,0,12,283,0,7,0,1,0
145,1,1,20,0,0,0,280,1,7,0,1,0
146,1,0,39,0,0,2,297,1,1,1,0,0
147,1,0,66,0,0,3,178,1,1,0,0,1
148,1,1,54,0,0,0,133,0,1,0,0,1
150,3,1,44,0,0,0,45,0,1,0,0,1
151,2,0,19,0,0,1,45,0,4,1,0,0
