id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,num_r_cases,r_charge_degree,r_days_from_arrest,r_charge_desc,is_violent_recid,num_vr_cases,vr_charge_degree,vr_charge_desc,v_type_of_assessment,v_decile_score,v_score_text,type_of_assessment,decile_score_1,score_text
1,Male,69,Greater than 45,Other,0,1,0,0,0,-1,1,F,Aggravated Assault w/Firearm,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
2,Male,31,25 - 45,Caucasian,0,5,0,0,0,NA,NA,O,NA,-1,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,5,Medium
3,Male,34,25 - 45,African-American,0,3,0,0,0,-1,1,F,Felony Battery w/Prior Convict,1,NA,F,NA,Felony Battery (Dom Strang),1,NA,(F3),Felony Battery (Dom Strang),Risk of Violence,1,Low,Risk of Recidivism,3,Low
4,Male,24,Less than 25,African-American,0,4,0,1,4,-1,1,F,Possession of Cocaine,1,NA,M,0,Driving Under The Influence,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,4,Low
5,Male,23,Less than 25,African-American,0,8,1,0,1,NA,1,F,Possession of Cannabis,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,6,Medium,Risk of Recidivism,8,High
6,Male,43,25 - 45,Other,0,1,0,0,2,NA,76,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
7,Male,44,25 - 45,Other,0,1,0,0,0,0,0,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
8,Male,41,25 - 45,Caucasian,0,6,0,0,14,-1,1,F,Possession Burglary Tools,1,NA,F,0,Poss of Firearm by Convic Felo,0,NA,NA,NA,Risk of Violence,2,Low,Risk of Recidivism,6,Medium
9,Male,43,25 - 45,Other,0,4,0,0,3,-1,1,F,arrest case no charge,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,4,Low
10,Female,39,25 - 45,Caucasian,0,1,0,0,0,-1,1,M,Battery,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,1,Low,Risk of Recidivism,1,Low
11,Male,20,Less than 25,Caucasian,0,10,0,1,0,-1,1,F,Possession Of Alprazolam,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,9,High,Risk of Recidivism,10,High
12,Female,26,25 - 45,Caucasian,0,5,0,0,0,-1,1,F,Possession Of Alprazolam,0,NA,O,NA,NA,0,NA,NA,NA,Risk of Violence,3,Low,Risk of Recidivism,5,Medium
13,Male,21,Less than 25,Caucasian,0,3,0,0,1,428,308,F,Insurance Fraud,1,NA,M,0,Battery,1,NA,(F2),Aggrav Battery w/Deadly Weapon,Risk of Violence,5,Medium,Risk of Recidivism,3,Low
