"block_num","id","race","sex","age","juv_fel_count","juv_misd_count","priors_count","charge_id","charge_degree (misd/fel)","compas_decile_score","two_year_recid","vign_short","charge_name","charge_info","outcome"
1,8307,2,1,53,0,0,5,413,1,6,0,"The defendant is a 53-year-old female. She has been charged with unlicensed telemarketing. This crime is classified as a felony. She has been convicted of 5 prior crimes. She has 0 juvenile felony charges and 0 juvenile misdemeanor charges on her record.","Unlicensed telemarketing","when an unlicensed commercial telemarketing company or unlicensed salesperson solicits a purchaser for the purpose of attempting to sell consumer goods or services",0
1,10406,2,0,43,0,0,2,306,1,7,0,"The defendant is a 43-year-old male. He has been charged with possession of cocaine. This crime is classified as a felony. He has been convicted of 2 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Possession of cocaine","nan",0
1,8267,2,0,46,0,0,3,371,1,3,1,"The defendant is a 46-year-old male. He has been charged with stalking. This crime is classified as a felony. He has been convicted of 3 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Stalking","when a person willfully, maliciously, and repeatedly follows, harasses, or cyber-stalks another person",1
1,5593,1,0,37,0,0,4,21,0,4,1,"The defendant is a 37-year-old male. He has been charged with assault. This crime is classified as a misdemeanor. He has been convicted of 4 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Assault","an intentional and unlawful threat against another person, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent",1
1,61,2,1,51,0,0,7,306,1,2,0,"The defendant is a 51-year-old female. She has been charged with possession of cocaine. This crime is classified as a felony. She has been convicted of 7 prior crimes. She has 0 juvenile felony charges and 0 juvenile misdemeanor charges on her record.","Possession of cocaine","nan",0
1,5438,2,0,20,0,0,1,186,1,10,1,"The defendant is a 20-year-old male. He has been charged with grand theft. This crime is classified as a felony. He has been convicted of 1 prior crime. He has 0 juvenile felony charges and 0 juvenile misdemeanor charge on his record.","Grand theft","the unlawful taking of property worth more than $300",1
1,5557,2,0,51,0,0,0,423,0,4,1,"The defendant is a 51-year-old male. He has been charged with domestic violence. This crime is classified as a misdemeanor. He has been convicted of 0 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Domestic violence","the touching or striking of a family member, household member, or domestic partner against their will",1
1,9924,1,0,29,0,0,0,15,1,3,1,"The defendant is a 29-year-old male. He has been charged with assault with a deadly weapon. This crime is classified as a felony. He has been convicted of 0 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Assault with a deadly weapon","an intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1
1,4767,1,0,39,0,0,3,306,1,2,0,"The defendant is a 39-year-old male. He has been charged with possession of cocaine. This crime is classified as a felony. He has been convicted of 3 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Possession of cocaine","nan",0
1,1733,1,1,52,0,0,6,381,0,7,0,"The defendant is a 52-year-old female. She has been charged with theft. This crime is classified as a misdemeanor. She has been convicted of 6 prior crimes. She has 0 juvenile felony charges and 0 juvenile misdemeanor charges on her record.","Theft","taking of another person's property worth less than $300",0
1,4766,1,0,26,0,0,2,190,1,9,1,"The defendant is a 26-year-old male. He has been charged with grand theft. This crime is classified as a felony. He has been convicted of 2 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Grand theft","the unlawful taking of property worth more than $300",1
1,5647,2,1,42,0,0,0,133,0,1,1,"The defendant is a 42-year-old female. She has been charged with driving under the influence. This crime is classified as a misdemeanor. She has been convicted of 0 prior crimes. She has 0 juvenile felony charges and 0 juvenile misdemeanor charges on her record.","Driving under the influence","operating a motor vehicle with a blood alcohol content (BAC) of 0.08% or higher",1
1,8827,3,0,26,0,0,5,129,1,3,0,"The defendant is a 26-year-old male. He has been charged with driving with a revoked license. This crime is classified as a felony. He has been convicted of 5 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Driving with a revoked license","nan",0
1,2719,2,0,23,0,0,1,167,1,4,1,"The defendant is a 23-year-old male. He has been charged with battery. This crime is classified as a felony. He has been convicted of 1 prior crime. He has 0 juvenile felony charges and 0 juvenile misdemeanor charge on his record.","Battery","intentionally causing bodily harm to another person without a weapon",1
1,1443,2,0,45,0,0,0,318,1,5,1,"The defendant is a 45-year-old male. He has been charged with possession of morphine. This crime is classified as a felony. He has been convicted of 0 prior crimes. He has 0 juvenile felony charges and 0 juvenile misdemeanor charges on his record.","Possession of morphine","nan",1
