id,user_id,user_group,user_block,individual_id,predicted_decision,enter_time,leave_time
1,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1524,2,1551486418060,1551486436450
2,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,752,2,1551486441984,1551486453512
3,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1709,2,1551486455886,1551486462628
4,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1564,75,1551486464618,1551486475502
5,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1891,8,1551486478527,1551486516770
6,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,795,38,1551486520932,1551486529312
7,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1828,5,1551486532277,1551486541668
8,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1214,5,1551486545126,1551486583527
9,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,749,38,1551486585672,1551486592866
10,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1184,5,1551486595205,1551486602346
11,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,117,42,1551486604563,1551486610184
12,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,485,58,1551486613436,1551486624883
13,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,184,58,1551486628028,1551486636663
14,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,287,55,1551486639320,1551486648958
15,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1549,2,1551486651138,1551486657877
16,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1794,2,1551486659516,1551486692658
17,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,596,5,1551486694256,1551486701921
18,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1149,2,1551486704970,1551486710965
19,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1683,52,1551486712463,1551486735795
20,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,531,52,1551486738060,1551486746244
21,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,234,2,1551486747879,1551486753546
22,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,808,8,1551486755046,1551486760516
23,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1551,8,1551486762066,1551486771114
24,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1045,38,1551486772776,1551486781118
25,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,811,2,1551486783221,1551486791172
26,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1018,8,1551486841725,1551486854986
27,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,94,2,1551486856743,1551486861947
28,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1148,8,1551486865918,1551486873089
29,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1514,42,1551486874952,1551486880175
30,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1770,5,1551486881721,1551486889386
31,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,dummy1,2,1551486891400,1551486900731
32,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,991,42,1551486902470,1551486911766
33,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1267,2,1551486913270,1551486919697
34,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,772,2,1551486922364,1551486928131
35,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,255,2,1551486929836,1551486972251
36,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,587,12,1551486987495,1551486995511
37,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1655,19,1551486996910,1551487006152
38,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,560,12,1551487008163,1551487016370
39,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,974,2,1551487018137,1551487076780
40,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,308,2,1551487078632,1551487086705
41,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,dummy2,98,1551487088603,1551487097640
42,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1873,5,1551487102173,1551487209697
43,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,1119,8,1551487211254,1551487218691
44,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,884,42,1551487220685,1551487226918
45,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,225,42,1551487228554,1551487235016
46,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,169,48,1551487236588,1551487282709
47,a7536ad08257c77bbe46231129a50794,feedback_vignette,1,215,2,1551487284795,1551487289836
